NAME,LATITUDE,LONGITUDE
Green Jade,40.0832018,-88.2642054
Green Street Café,25.492174,-80.434413
Greenhouse Cafe,39.9997253,-88.6579924
Grovestone,40.0977605,-88.2746694
Guido's Bar & Grill,40.1242759,-87.6305457
Hamilton Walker's,40.11758,-88.243638
Hammerhead Coffee,25.492174,-80.434413
Hen House Family Restaurant,33.619894,-85.648818
Hendrick House,40.11022,-88.2583685
Hickory River Smokehouse,40.3143926,-89.1762401
Home of Gourmet Chinese & Thai,40.1080534,-88.2301372
Hooters,40.0954301,-88.2462544
Hopscotch Bakery + Market,40.109107,-88.2560485
Hot Wok Express,40.116488,-88.222541
Houlihan's,40.0943211,-88.2384427
Howdy Burger,40.1102146,-88.2299343
Huaraches Moroleon,40.1067191,-88.1957771
Huber's,40.1185118,-88.2684968
HuHot Mongolian Grill,40.1465972,-88.2582888
Hybrid Fit Food,40.1163972,-88.2038836
I Café,40.0937411,-88.2373136
I Wok,40.0589817,-88.2529739
Ice Daddy's,39.969539,-91.380467
Industrial Donut,41.966974,-88.727589
Insomnia Cookies,40.8919901,-88.62281
Intermezzo Café at Krannert,40.1080112,-88.222528
Itsa Pizza,38.5964994,-89.9097907
J & J's Homestead,41.7714523,-88.149511
J. Gumbo's Cajun and Creole Cooking Co.,40.1064512,-88.2213197
Jack's Tavern,39.1329153,-88.4730157
Jarling's Custard Cup,40.0980044,-88.2468826
Jenkins Catering,40.1164205,-88.2433829
Jerusalem Restaurant,40.111385,-88.229002
Joe's Brewery,40.1101036,-88.2319433
JT Walker's Brewery,41.9143579,-88.3095104
JT Walker's Restaurant,25.492174,-80.434413
Juanito's Tacos,40.1337676,-88.2387896
Judy's Sweets,39.4089342,-88.7973056
Jupiter's At The Crossing,40.0819148,-88.2967223
Jupiter's Pizzeria and Billiards,40.1178875,-88.2414231
Jurassic Grill,40.1103981,-88.2331124
K-Bowl,40.1101173,-88.2411694
Kato's Cajun,41.814661,-87.7229166
Ko Fusion,40.1093924,-88.2272187
Kohinoor Indian Restaurant & Lounge,40.1211875,-88.2432218
Kona Ice,39.969539,-91.380467
Koto Ramen,40.1104504,-88.231656
Krispy Krunchy Chicken,40.1272574,-88.2536173
Kung Fu BBQ,40.1091508,-88.2317231
Kusu Kusu Asian Grill,41.7441109,-88.3074408
Kyoto Sushi,40.1102113,-88.2301051
La Bamba Mexican Restaurant,40.1195641,-88.2778037
La Cascada Mexican Grill,41.7872088,-88.1365352
La Luna Café,41.8663211,-88.1067477
La Mixteca,40.1165477,-88.2047815
Lai Lai Wok,42.395117,-87.993482
Latea Lounge,40.1113787,-88.230584
Latte Da!,40.10677,-88.2281835
Le Peep,38.957,-88.74958
Legends Bar & Grill,40.1103677,-88.2315951
Lenny's Ice Cream Gallery,41.7714505,-88.1495111
Lil Porgy's BBQ,40.112573,-88.2800287
Lincoln Street Lounge,37.8027366,-89.0873966
Little Caesar's,40.1035048,-88.2766816
Long John Silver's,40.1290741,-88.2583097
Longbranch Steakhouse,39.8441584,-88.955813
Longhorn Steakhouse,40.1413492,-88.2585631
Longview Tavern,39.7372579,-87.6050226
Los Toros Numero 2,40.0101707,-88.5759391
Los Zarapes,40.1967693,-88.3961211
Lucky Moon Pies and More,42.35373,-87.831828
Mahomet Family Restaurant,40.1864948,-88.3798032
Main Street Belly Deli,41.7738197,-88.1493972
Main Street Pub,41.5445118,-87.6144485
Maize at the Station,40.0536519,-89.1853664
Maize Mexican Grill,40.1104203,-88.2389625
Mandarin Wok,40.1101812,-88.2333562
Mango Mango,40.142697,-88.242566
Manolo's Pizza & Empanadas,40.1069133,-88.2219766
Manzella's Italian Patio,40.1158474,-88.2389717
Marble Slab Creamery,40.0703891,-88.2515366
Mas Amigos,41.5228589,-88.1373694
Masijta Grill,40.1138425,-88.2087186
McAlister's Deli,40.1413435,-88.2501235
McDonald's,40.1136389,-88.2425891
Meatheads Burgers & Fries,40.1014261,-88.2445119
Merry Ann's Diner,40.0983917,-88.244247
Mia Za's,25.492174,-80.434413
Mid-Summer Lounge,40.1102146,-88.2299343
Miga,40.1184918,-88.2437783
Ming Garden,40.1024328,-88.2767662
Moe's Southwest Grill,40.0901812,-88.2464817
Moki Sushi,40.0924854,-88.2456193
Monarch Brewing Company,38.519519,-88.0031523
Monical's Pizza,41.1230793,-87.8740439
Monticello Red Wheel,40.0542142,-88.5612799
Murphy's Pub,40.1104224,-88.2300402
My Thai,41.536262,-90.435518
Nando Milano Trattoria,40.1176084,-88.2434254
Naya,40.1103163,-88.2367212
Neil St. Blues,40.1184918,-88.2437783
Niro's Gyros,40.1125515,-88.2804357
Noodles & Co.,40.1104224,-88.2307897
North Forty,38.5158772,-90.2110987
O'Charley's,40.1432087,-88.2560367
Oberweis Dairy,40.0929452,-88.2460874
"Oh, Honey Pie Truck",40.116876,-88.243624
Oishi,40.145279,-87.69682
Old Chicago Pizza,40.139188,-88.244067
Olive Garden,40.1358739,-88.2411692
Original Pancake House,40.1127818,-88.2784189
Ott's Drive-In,40.314431,-88.155743
Outback Steakhouse,40.1449448,-88.2572441
Ozu Ramen,40.1113787,-88.230584
Padano's Pizza Co.,25.492174,-80.434413
Pandamonium Doughnuts,42.3251269,-89.0458796
Papa Del's,40.103329,-88.243795
Pauly's BBQ,41.53644,-88.0736846
Pekara Bakery & Bistro,40.1170743,-88.2434103
Peking Garden,40.1180507,-88.2448957
Peking House,39.5473596,-89.2849856
Penn Station,40.1432418,-88.2591942
Perkin's Restaurant & Bakery,40.116419,-88.26647
Philo Tavern,39.8021437,-89.6554018
Pho Cafe,40.1102113,-88.2301051
Pia's Sports Bar & Grill,40.1127168,-88.2727333
